iter	Passed	Remaining
203	374	1276
204	375	1274
205	377	1271
206	379	1268
207	380	1266
208	382	1264
209	383	1261
210	385	1259
211	387	1257
212	389	1257
213	391	1256
214	393	1255
215	395	1252
216	397	1250
217	398	1247
218	400	1245
219	402	1242
220	403	1240
221	405	1238
222	407	1236
223	408	1234
224	410	1231
225	412	1229
226	413	1226
227	415	1224
228	417	1222
229	418	1220
230	421	1221
231	423	1219
232	425	1217
233	426	1214
234	428	1212
235	430	1210
236	431	1207
237	433	1205
238	435	1203
239	437	1203
240	439	1200
241	440	1198
242	442	1196
243	444	1193
244	445	1191
245	447	1189
246	449	1188
247	451	1185
248	453	1184
249	455	1183
250	457	1181
251	458	1179
252	460	1177
253	462	1175
254	463	1173
255	465	1171
256	467	1169
257	469	1168
258	471	1166
259	472	1164
260	474	1162
261	476	1160
262	478	1158
263	480	1156
264	482	1155
265	484	1153
266	485	1151
267	487	1150
268	490	1151
269	492	1150
270	494	1148
271	496	1146
272	498	1144
273	500	1142
274	501	1140
275	503	1138
276	504	1135
277	506	1133
278	508	1131
279	509	1129
280	511	1127
281	513	1125
282	515	1123
283	516	1121
284	518	1119
285	520	1116
286	521	1114
287	523	1112
288	524	1109
289	526	1107
290	528	1105
291	530	1103
292	531	1101
293	533	1099
294	535	1097
295	536	1095
296	538	1093
297	540	1091
298	541	1088
299	543	1086
300	545	1085
301	547	1084
302	549	1082
303	551	1080
304	552	1078
305	554	1076
306	556	1074
307	557	1072
308	559	1070
309	561	1068
310	562	1066
311	564	1063
312	566	1061
313	567	1059
314	569	1058
315	571	1056
316	573	1054
317	575	1053
318	577	1051
319	578	1048
320	580	1046
321	581	1044
322	583	1042
323	585	1040
324	587	1038
325	588	1036
326	590	1034
327	592	1032
328	593	1030
329	595	1028
330	597	1026
331	598	1024
332	600	1022
333	602	1020
334	603	1018
335	605	1016
336	607	1014
337	609	1012
338	610	1010
339	612	1008
340	613	1006
341	615	1004
342	617	1003
343	620	1002
344	622	1001
345	624	1000
346	627	999
347	629	997
348	631	996
349	632	994
350	634	992
351	636	990
352	637	988
353	639	986
354	641	984
355	643	982
356	644	980
357	646	979
358	648	977
359	650	975
360	652	973
361	653	971
362	655	969
363	657	967
364	658	965
365	660	963
366	662	961
367	663	959
368	665	958
369	667	956
370	669	954
371	671	952
372	672	950
373	674	948
374	676	946
375	677	944
376	679	942
377	681	940
378	683	938
379	684	936
380	686	935
381	688	933
382	689	931
383	691	929
384	693	927
385	694	925
386	696	923
387	698	921
388	699	919
389	701	917
390	703	915
391	705	913
392	706	911
393	708	909
394	710	907
395	711	905
396	713	903
397	715	901
398	716	899
399	718	897
400	720	896
401	721	894
402	723	892
403	725	890
404	726	888
405	728	886
406	730	884
407	732	882
408	733	880
409	735	879
410	737	877
411	738	875
412	740	873
413	742	871
414	744	869
415	745	867
416	747	866
417	749	864
418	751	862
419	752	860
420	754	858
421	756	856
422	758	855
423	759	853
424	761	851
425	763	849
426	765	847
427	766	845
428	768	843
429	770	841
430	771	839
431	773	837
432	774	835
433	776	833
434	778	832
435	779	830
436	781	828
437	783	826
438	785	824
439	786	822
440	788	820
441	790	818
442	791	816
443	793	814
444	795	812
445	796	811
446	798	809
447	800	807
448	801	805
449	803	803
450	805	801
451	806	799
452	808	798
453	810	796
454	812	794
455	813	792
456	815	790
457	817	788
458	819	787
459	820	785
460	823	783
461	825	782
462	827	780
463	829	779
464	831	777
465	833	775
466	834	774
467	836	772
468	838	770
469	840	768
470	841	766
471	843	764
472	845	763
